"INTERPRO2GO","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003190 Aspartate decarboxylase;",NA,1,NA,NA,1,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003231 Acyl carrier protein (ACP);",NA,1,NA,NA,NA,NA,NA,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003414 Polyphosphate kinase;",NA,1,2,2,4,1,1,7,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003440 Glycosyl transferase, family 48;",NA,1,NA,2,NA,NA,3,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003447 FemABX peptidyl transferase;",NA,1,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003473 Quinolinate synthetase A;IPR023066 Quinolinate synthase A, type 2;",NA,1,NA,1,NA,NA,1,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003672 CobN/magnesium chelatase;",NA,1,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003698 Lipoyl synthase;",NA,1,1,NA,3,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003710 Ketopantoate reductase ApbA/PanE;",NA,3,NA,NA,1,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003719 Phenazine biosynthesis PhzF protein;",NA,3,1,3,1,NA,NA,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003780 COX15/CtaA family;IPR023755 Heme A synthase, type 1;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR003817 Phosphatidylserine decarboxylase-related;IPR033177 Phosphatidylserine decarboxylase;IPR033179 Phosphatidylserine decarboxylase, prokaryotic type 2;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR004424 4-diphosphocytidyl-2C-methyl-D-erythritol kinase;",NA,2,2,NA,3,NA,1,1,3
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR004430 3-isopropylmalate dehydratase, large subunit;",NA,1,NA,NA,4,3,4,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR004431 3-isopropylmalate dehydratase, small subunit;",NA,1,2,NA,4,2,2,4,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR004472 Dethiobiotin synthase BioD;",NA,1,2,2,1,1,2,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR004591 Replication factor A protein 1;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR004733 Phosphoribosylformylglycinamidine cyclo-ligase;",NA,1,1,1,1,2,4,4,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR004810 Formyltetrahydrofolate deformylase;",NA,1,2,NA,1,1,2,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005150 Cellulose synthase;",NA,5,1,2,1,NA,2,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005259 Primosomal protein N';",NA,2,NA,1,1,NA,3,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005288 L-aspartate oxidase;",NA,1,NA,NA,2,NA,3,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005294 ATP synthase, F1 complex, alpha subunit;",NA,3,1,NA,5,2,2,2,5
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005477 Deoxyxylulose-5-phosphate synthase;",NA,1,1,NA,1,1,4,4,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005671 2-isopropylmalate synthase, bacterial-type;",NA,1,NA,1,NA,NA,1,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005750 UDP-N-acetylglucosamine 1-carboxyvinyltransferase;",NA,1,1,3,4,NA,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005765 Uracil phosphoribosyl transferase;IPR034332 Uracil phosphoribosyltransferase, bacterial-type;",NA,1,1,1,NA,1,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005881 Serine O-acetyltransferase;",NA,1,1,3,NA,3,3,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005930 Pyruvate carboxylase;",NA,1,2,1,NA,1,1,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005935 Diphosphomevalonate/phosphomevalonate decarboxylase;IPR029765 Diphosphomevalonate decarboxylase;",NA,1,NA,NA,1,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR005970 Light-independent protochlorophyllide reductase, N subunit;",NA,2,NA,1,1,NA,NA,NA,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR006006 Glutamate synthase, NADH/NADPH, small subunit 2;",NA,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR006179 5'-Nucleotidase/apyrase;",NA,2,NA,4,5,3,2,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR006179 5'-Nucleotidase/apyrase;IPR011240 Phosphoesterase-related protein YunD;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR006219 DHAP synthase, class 1;",NA,2,NA,2,1,1,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR006264 3-phosphoshikimate 1-carboxyvinyltransferase;",NA,1,NA,2,1,1,1,1,4
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR006284 Glutathione synthetase, prokaryotic;",NA,2,2,1,2,NA,1,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR006375 Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase;",NA,1,NA,3,3,1,2,NA,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR006721 ATP synthase, F1 complex, epsilon  subunit, mitochondrial;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR007133 RNA polymerase II associated factor Paf1;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR007149 Leo1-like protein;",NA,1,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR007440 Chorismate--pyruvate lyase;",NA,1,1,NA,2,1,1,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR007466 Peptidyl-arginine deiminase, Porphyromonas-type;",NA,1,2,NA,2,2,NA,4,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR008209 Phosphoenolpyruvate carboxykinase, GTP-utilising;",NA,1,1,NA,1,NA,2,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR008220 Homoserine/serine acetyltransferase MetX-like;",NA,4,2,2,1,1,1,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR008337 Capsule biosynthesis protein CapB;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR008688 ATP synthase, F0 complex, subunit B/MI25;",NA,1,NA,NA,NA,NA,1,NA,4
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR008715 SAM-dependent methyltransferase, NodS-related;",NA,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR010074 Phosphoribosylformylglycinamidine subunit PurL;",NA,1,NA,2,1,1,1,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR010137 Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase;",NA,1,NA,NA,NA,NA,1,1,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR010139 Imidazole glycerol phosphate synthase, subunit H;",NA,1,NA,NA,2,2,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR010140 Histidinol phosphate phosphatase, HisJ;",NA,1,1,1,1,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR010232 Probable protein kinase UbiB;",NA,1,NA,NA,1,NA,2,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR010462 Ectoine synthase;",NA,1,NA,NA,1,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR010963 Poly(R)-hydroxyalkanoic acid synthase, class I;",NA,2,NA,1,1,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR010971 Ubiquinone biosynthesis hydroxylase UbiH/COQ6;IPR011295 2-polyprenyl-6-methoxyphenol 4-hydroxylase;",NA,1,NA,2,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR011141 Polyketide synthase, type III;",NA,2,2,NA,2,1,3,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR011241 Bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase;",NA,1,NA,NA,NA,NA,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR011831 Glucose-1-phosphate adenylyltransferase;IPR023049 Glucose-1-phosphate adenylyltransferase GlgC, bacterial;",NA,1,1,1,2,2,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR011876 Isopentenyl-diphosphate delta-isomerase, type 1;",NA,1,NA,NA,1,1,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR011904 Acetate-CoA ligase;",NA,1,NA,1,3,3,1,2,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR011962 dCTP deaminase;",NA,1,1,NA,NA,NA,NA,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR012080 Aspartate-semialdehyde dehydrogenase;",NA,1,1,1,3,2,1,4,3
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR012131 Histidinol dehydrogenase;IPR022695 Histidinol dehydrogenase, monofunctional;",NA,1,1,2,2,NA,1,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR012382 Precorrin-2 C(20)-methyltransferase;",NA,1,NA,NA,2,NA,NA,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR012392 Very-long-chain 3-ketoacyl-CoA synthase;",NA,3,NA,4,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR012761 RNA polymerase sigma factor RpoS;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR012824 Cobalamin (vitamin B12) biosynthesis CobW;",NA,1,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR014105 Carotenoid/retinoid oxidoreductase;",NA,1,NA,1,NA,2,NA,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR014322 RNA polymerase sigma-B/F/G type;",NA,2,NA,NA,NA,2,1,1,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR017079 Zeaxanthin epoxidase;",NA,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR017597 Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y;",NA,1,NA,NA,2,2,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR017790 Penicillin-binding protein 2;",NA,1,1,NA,2,3,2,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR017808 Ergothioneine biosynthesis protein EgtC;IPR032889 Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase, Actinobacteria;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR019038 DNA polymerase delta subunit 3;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR020921 Erythronate-4-phosphate dehydrogenase;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR022924 Cardiolipin synthase;IPR030874 Cardiolipin synthase, Firmicutes-type;",NA,1,NA,3,1,NA,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR023031 Orotate phosphoribosyltransferase;",NA,3,1,1,2,1,2,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR023045 Molybdenum cofactor biosynthesis C;",NA,1,1,1,2,1,NA,3,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR024694 PurE, prokaryotic type;",NA,1,2,NA,NA,3,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR030963 3-dehydroquinate synthase family;",NA,1,2,1,1,3,2,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR034291 Thiamine phosphate synthase;",NA,1,1,NA,1,2,NA,NA,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR037439 1,4-alpha-glucan-branching enzyme;",NA,1,NA,NA,2,2,2,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR037455 Aerobactin siderophore biosynthesis, IucA/IucC-like;",NA,1,NA,NA,1,2,1,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR038989 Ubiquinone biosynthesis protein UbiJ;",NA,1,1,NA,NA,NA,NA,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR039793 Uroporphyrinogen-III synthase;",NA,2,NA,1,NA,2,1,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0009058 biosynthetic process;IPR040097 Fatty acyl-AMP ligase;",NA,1,1,NA,NA,2,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0015979 photosynthesis;IPR001056 Photosystem II reaction centre protein H;",NA,1,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0015979 photosynthesis;IPR003359 Photosystem I Ycf4, assembly;",NA,1,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0015979 photosynthesis;IPR008797 Oxygen-evolving enhancer protein 3;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0016310 phosphorylation;IPR001672 Phosphoglucose isomerase (PGI);",NA,1,NA,3,3,2,7,2,4
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0016310 phosphorylation;IPR006412 Fructose-bisphosphate aldolase, class II, Calvin cycle subtype;",NA,1,NA,NA,1,1,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0016310 phosphorylation;IPR008349 Mitogen-activated protein (MAP) kinase, ERK1/2;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0016310 phosphorylation;IPR008352 Mitogen-activated protein (MAP) kinase p38-like;IPR038783 Fungal mitogen-activated protein (MAP) kinase Sty1/Hog1;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0016310 phosphorylation;IPR015519 Serine/threonine-protein kinase ATM/Tel1;",NA,1,NA,NA,1,NA,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR000417 Hydroxyethylthiazole kinase;",NA,1,1,NA,1,2,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR000454 ATP synthase, F0 complex, subunit C;",NA,1,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR000659 Pyridoxamine 5'-phosphate oxidase;",NA,1,1,4,NA,NA,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR000706 N-acetyl-gamma-glutamyl-phosphate reductase, type 1;",NA,1,3,NA,4,NA,3,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR000796 Aspartate/other aminotransferase;",NA,2,NA,1,NA,5,1,NA,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR000870 Homoserine kinase;",NA,1,1,NA,2,1,1,1,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR001095 Acetyl-CoA carboxylase, alpha subunit;",NA,1,NA,2,NA,1,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR001273 Aromatic amino acid hydroxylase;IPR005960 Phenylalanine-4-hydroxylase, monomeric form;",NA,2,NA,NA,NA,NA,2,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR001518 Argininosuccinate synthase;IPR023434 Argininosuccinate synthase, type 1 subfamily;",NA,1,NA,2,NA,1,3,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR001645 Folylpolyglutamate synthetase;",NA,1,1,1,NA,1,2,NA,3
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR001653 Diaminopimelate epimerase, DapF;",NA,1,1,NA,3,NA,3,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR001672 Phosphoglucose isomerase (PGI);",NA,1,NA,3,3,2,7,2,4
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002129 Pyridoxal phosphate-dependent decarboxylase;",NA,1,2,1,1,NA,1,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002129 Pyridoxal phosphate-dependent decarboxylase;IPR010107 Glutamate decarboxylase;",NA,1,1,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002146 ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast;",NA,1,NA,2,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002161 Pyridoxal 5'-phosphate synthase subunit PdxT/SNO;",NA,1,1,NA,NA,NA,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002306 Tryptophan-tRNA ligase;IPR024109 Tryptophan-tRNA ligase, bacterial-type;",NA,1,1,1,1,2,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002312 Aspartyl/Asparaginyl-tRNA synthetase, class IIb;IPR004522 Asparagine-tRNA ligase;",NA,1,1,NA,1,NA,NA,3,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002313 Lysine-tRNA ligase, class II;IPR034762 Bacterial/eukaryotic lysine-tRNA ligase, class II;",NA,1,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002320 Threonine-tRNA ligase, class IIa;",NA,3,1,3,3,NA,5,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR002587 Myo-inositol-1-phosphate synthase;",NA,2,NA,1,1,2,1,NA,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003171 Methylenetetrahydrofolate reductase;IPR004621 Eukaryotic-type methylenetetrahydrofolate reductase;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003190 Aspartate decarboxylase;",NA,1,NA,NA,1,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003231 Acyl carrier protein (ACP);",NA,1,NA,NA,NA,NA,NA,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003414 Polyphosphate kinase;",NA,1,2,2,4,1,1,7,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003473 Quinolinate synthetase A;IPR023066 Quinolinate synthase A, type 2;",NA,1,NA,1,NA,NA,1,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003698 Lipoyl synthase;",NA,1,1,NA,3,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003702 Acetyl-CoA hydrolase/transferase;",NA,1,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003710 Ketopantoate reductase ApbA/PanE;",NA,3,NA,NA,1,NA,1,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR003921 Cellulose synthase, subunit C;",NA,1,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004430 3-isopropylmalate dehydratase, large subunit;",NA,1,NA,NA,4,3,4,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004431 3-isopropylmalate dehydratase, small subunit;",NA,1,2,NA,4,2,2,4,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004452 4Fe-4S binding protein;",NA,1,NA,1,NA,1,1,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004472 Dethiobiotin synthase BioD;",NA,1,2,2,1,1,2,2,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004529 Phenylalanyl-tRNA synthetase, class IIc, alpha subunit;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004530 Phenylalanyl-tRNA synthetase, class IIc, mitochondrial;",NA,1,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004733 Phosphoribosylformylglycinamidine cyclo-ligase;",NA,1,1,1,1,2,4,4,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004790 Isocitrate dehydrogenase NADP-dependent;",NA,1,NA,2,NA,1,2,1,2
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR004810 Formyltetrahydrofolate deformylase;",NA,1,2,NA,1,1,2,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0008152 metabolic process;GO:0044281 small molecule metabolic process;IPR005288 L-aspartate oxidase;",NA,1,NA,NA,2,NA,3,NA,NA
